"ID","EVENT_TYPE","Time","AMP","MAFR","MEFR","DUR","FR"
"200000",0,2021-01-01 00:00:00,0,0,0,2,1
"200000",4,2021-01-01 00:30:00,0.001,0.001,0.001,1,1.00132978723404
"200000",1,2021-01-01 00:45:00,0,0,0,3,1
"200000",5,2021-01-01 01:30:00,NA,NA,NA,5,NA
"200000",0,2021-01-01 02:45:00,0,0,0,1,1
"200000",4,2021-01-01 03:00:00,0.001,0.001,0.001,1,1.00133155792277
"200000",1,2021-01-01 03:15:00,0,0,0,9,1
"200000",4,2021-01-01 05:30:00,0.001,0.001,0.001,1,1.00133333333333
"200000",1,2021-01-01 05:45:00,0,0,0,8,1
"200000",4,2021-01-01 07:45:00,0.001,0.001,0.001,1,1.00133511348465
"200000",1,2021-01-01 08:00:00,0,0,0,9,1
"200000",4,2021-01-01 10:15:00,0.001,0.001,0.001,1,1.00133689839572
"200000",1,2021-01-01 10:30:00,0,0,0,9,1
"200000",4,2021-01-01 12:45:00,0.001,0.001,0.001,1,1.00133868808568
"200000",1,2021-01-01 13:00:00,0,0,0,8,1
"200000",4,2021-01-01 15:00:00,0.001,0.001,0.001,1,1.00134048257373
"200000",1,2021-01-01 15:15:00,0,0,0,9,1
"200000",4,2021-01-01 17:30:00,0.001,0.001,0.001,1,1.00134228187919
"200000",1,2021-01-01 17:45:00,0,0,0,9,1
"200000",4,2021-01-01 20:00:00,0.001,0.001,0.001,1,1.00134408602151
"200000",1,2021-01-01 20:15:00,0,0,0,8,1
"200000",4,2021-01-01 22:15:00,0.001,0.001,0.001,1,1.00134589502019
"200000",1,2021-01-01 22:30:00,0,0,0,9,1
"200000",4,2021-01-02 00:45:00,0.001,0.001,0.001,1,1.00134770889488
"200000",1,2021-01-02 01:00:00,0,0,0,9,1
"200000",4,2021-01-02 03:15:00,0.001,0.001,0.001,1,1.00134952766532
"200000",1,2021-01-02 03:30:00,0,0,0,8,1
"200000",4,2021-01-02 05:30:00,0.001,0.001,0.001,1,1.00135135135135
"200000",1,2021-01-02 05:45:00,0,0,0,9,1
"200000",4,2021-01-02 08:00:00,0.001,0.001,0.001,1,1.00135317997294
"200000",1,2021-01-02 08:15:00,0,0,0,9,1
"200000",4,2021-01-02 10:30:00,0.001,0.001,0.001,1,1.00135501355014
"200000",1,2021-01-02 10:45:00,0,0,0,8,1
"200000",4,2021-01-02 12:45:00,0.001,0.001,0.001,1,1.00135685210312
"200000",1,2021-01-02 13:00:00,0,0,0,9,1
"200000",4,2021-01-02 15:15:00,0.001,0.001,0.001,1,1.00135869565217
"200000",1,2021-01-02 15:30:00,0,0,0,9,1
"200000",4,2021-01-02 17:45:00,0.001,0.001,0.001,1,1.00136054421769
"200000",1,2021-01-02 18:00:00,0,0,0,8,1
"200000",4,2021-01-02 20:00:00,0.001,0.001,0.001,1,1.00136239782016
"200000",1,2021-01-02 20:15:00,0,0,0,9,1
"200000",4,2021-01-02 22:30:00,0.001,0.001,0.001,1,1.00136425648022
